country,lang,generatedAt,source,currency,divisions,league,club,clubEnglish,clubKey,clubLogo,direction,date,player,roman,playerId,transferId,dqdId,dqdNationality,nameSource,age,pos,position,nationality,nationalityFlag,otherClub,transferType,type,ftype,marketValue,marketValueNum,fee,feeValue,matched,rowMuted
China,zh,2026-08-11 12:16 UTC,Transfermarkt 中国中超/中甲/中乙 2026 夏季转会,€,中超|中甲|中乙,中超,上海海港,Shanghai Port,shanghai-port,https://tmssl.akamaized.net//images/wappen/homepageSmall/27190.png?lm=1702165860,in,2026-06-18,崔峻诚,Juncheng Cui,1436253,6383811,51138251,中国,懂球帝,19,RW,Right Winger,China,https://tmssl.akamaized.net//images/flagge/tiny/34.png?lm=1520611569,上海海港B队,,promotion,,?,,Promotion,,true,
China,zh,2026-08-11 12:16 UTC,Transfermarkt 中国中超/中甲/中乙 2026 夏季转会,€,中超|中甲|中乙,中超,上海海港,Shanghai Port,shanghai-port,https://tmssl.akamaized.net//images/wappen/homepageSmall/27190.png?lm=1702165860,in,2026-06-18,李瑞龙,Ruilong Li,1382898,6383805,51093650,中国,懂球帝,19,DM,Defensive Midfield,China,https://tmssl.akamaized.net//images/flagge/tiny/34.png?lm=1520611569,上海海港B队,,promotion,,?,,Promotion,,true,
China,zh,2026-08-11 12:16 UTC,Transfermarkt 中国中超/中甲/中乙 2026 夏季转会,€,中超|中甲|中乙,中超,上海海港,Shanghai Port,shanghai-port,https://tmssl.akamaized.net//images/wappen/homepageSmall/27190.png?lm=1702165860,in,2026-06-18,温钧翔,Junxiang Wen,1382897,6383807,51093647,中国,懂球帝,18,CF,Centre-Forward,China,https://tmssl.akamaized.net//images/flagge/tiny/34.png?lm=1520611569,上海海港B队,,promotion,,?,,Promotion,,true,
China,zh,2026-08-11 12:16 UTC,Transfermarkt 中国中超/中甲/中乙 2026 夏季转会,€,中超|中甲|中乙,中超,上海海港,Shanghai Port,shanghai-port,https://tmssl.akamaized.net//images/wappen/homepageSmall/27190.png?lm=1702165860,in,2026-06-18,张俊杰,Junjie Zhang,1068100,6383810,50795375,中国,懂球帝,19,LW,Left Winger,China,https://tmssl.akamaized.net//images/flagge/tiny/34.png?lm=1520611569,上海海港B队,,promotion,,?,,Promotion,,true,
China,zh,2026-08-11 12:16 UTC,Transfermarkt 中国中超/中甲/中乙 2026 夏季转会,€,中超|中甲|中乙,中超,上海海港,Shanghai Port,shanghai-port,https://tmssl.akamaized.net//images/wappen/homepageSmall/27190.png?lm=1702165860,out,2026-06-18,王丹,Dan Wang,1423231,6383752,51125767,中国,懂球帝,20,CF,Centre-Forward,China,https://tmssl.akamaized.net//images/flagge/tiny/34.png?lm=1520611569,上海海港B队,,other,,?,,?,,true,
China,zh,2026-08-11 12:16 UTC,Transfermarkt 中国中超/中甲/中乙 2026 夏季转会,€,中超|中甲|中乙,中超,上海海港,Shanghai Port,shanghai-port,https://tmssl.akamaized.net//images/wappen/homepageSmall/27190.png?lm=1702165860,out,2026-06-18,姜宇斐,Yufei Jiang,1520572,6383753,51211543,中国,懂球帝,19,DF,Defender,China,https://tmssl.akamaized.net//images/flagge/tiny/34.png?lm=1520611569,上海海港B队,,other,,?,,?,,true,
China,zh,2026-08-11 12:16 UTC,Transfermarkt 中国中超/中甲/中乙 2026 夏季转会,€,中超|中甲|中乙,中超,上海海港,Shanghai Port,shanghai-port,https://tmssl.akamaized.net//images/wappen/homepageSmall/27190.png?lm=1702165860,out,2026-06-18,王晶磊,Jinglei Wang,1382894,6383754,51093648,中国,懂球帝,19,LB,Left-Back,China,https://tmssl.akamaized.net//images/flagge/tiny/34.png?lm=1520611569,上海海港B队,,other,,?,,?,,true,
China,zh,2026-08-11 12:16 UTC,Transfermarkt 中国中超/中甲/中乙 2026 夏季转会,€,中超|中甲|中乙,中超,上海海港,Shanghai Port,shanghai-port,https://tmssl.akamaized.net//images/wappen/homepageSmall/27190.png?lm=1702165860,out,2026-06-18,梁锦鸿,Jinhong Liang,1430645,6383756,51137790,中国,懂球帝,17,CM,Central Midfield,China,https://tmssl.akamaized.net//images/flagge/tiny/34.png?lm=1520611569,上海海港B队,,other,,?,,?,,true,
China,zh,2026-08-11 12:16 UTC,Transfermarkt 中国中超/中甲/中乙 2026 夏季转会,€,中超|中甲|中乙,中超,上海申花,Shanghai Shenhua,shanghai-shenhua,https://tmssl.akamaized.net//images/wappen/homepageSmall/3183.png?lm=1716027760,in,2026-06-30,孙冬阳,Dongyang Sun,1405580,6451533,50946873,中国,懂球帝,18,GK,Goalkeeper,China,https://tmssl.akamaized.net//images/flagge/tiny/34.png?lm=1520611569,Shanghai Shenhua U19,,promotion,,?,,Promotion,,true,
China,zh,2026-08-11 12:16 UTC,Transfermarkt 中国中超/中甲/中乙 2026 夏季转会,€,中超|中甲|中乙,中超,成都蓉城,Chengdu Rongcheng,chengdu-rongcheng,https://tmssl.akamaized.net//images/wappen/homepageSmall/65791.png?lm=1735794024,in,2026-06-19,帅惟浩,Weihao Shuai,1382253,6368995,51053075,中国,懂球帝,17,CF,Centre-Forward,China,https://tmssl.akamaized.net//images/flagge/tiny/34.png?lm=1520611569,Chengdu Derui Football Training Center,,free,,€225k,0.225,Free,0.0,true,
